PSMD11
CDK5R1
MYO1D
AC079336.5
AC079336.4
AC025211.1
AC084809.1
AC084809.2
TMEM98
SPACA3
ASIC2
AC008133.1
AC011824.4
AC011824.2
AC011824.1
AC024614.1
AC024614.2
AC024614.4
AC024610.2
AC024610.1
AC004147.3
AC004147.2
LINC01989
AC005549.1
CCL2
CCL7
CCL11
CCL8
CCL13
CCL1
AC011193.1
TMEM132E
AC005552.1
AC022903.1
CCT6B
ZNF830
LIG3
RFFL
AC004223.3
AC004223.4
AC004223.2
RAD51D
FNDC8
NLE1
UNC45B
AC022916.4
SLC35G3
AC022916.1
SLFN5
AC022706.1
SLFN11
AC060766.6
AC060766.4
SLFN12
SLFN13
SLFN12L
AC015911.5
AC015911.2
SLFN14
AC015911.6
AC015911.9
LINC02001
PEX12
AP2B1
TAF15
RASL10B
GAS2L2
MMP28
C17orf50
AC015849.2
AC015849.3
HEATR9
AC015849.1
CCL5
AC015849.5
RDM1
LYZL6
CCL16
CCL14
AC244100.2
CCL15-CCL14
CCL15
AC244100.3
AC244100.4
CCL23
CCL18
AC243829.4
CCL3
CCL4
AC243829.2
TBC1D3B
AC243829.1
CCL3L1
CCL4L2
AC243829.5
TBC1D3I
TBC1D3G
TBC1D3H
TBC1D3F
ZNHIT3
MYO19
PIGW
GGNBP2
DHRS11
MRM1
AC243830.2
AC243830.3
AC243830.1
LHX1-DT
LHX1
AC243773.1
AATF
AC244093.5
ACACA
C17orf78
TADA2A
AC243654.1
DUSP14
SYNRG
DDX52
AC243585.2
AC243571.2
AC243585.1
HNF1B
AC243571.1
TBC1D3K
TBC1D3L
TBC1D3D
TBC1D3C
TBC1D3E
TBC1D3
MRPL45
GPR179
SOCS7
ARHGAP23
SRCIN1
AC006449.1
EPOP
AC006449.6
AC006449.2
MLLT6
AC006449.3
CISD3
PCGF2
AC006449.5
PSMB3
PIP4K2B
CWC25
C17orf98
RPL23
LASP1
AC006441.1
AC006441.3
LINC00672
FBXO47
AC006441.4
LINC02079
PLXDC1
ARL5C
AC004408.1
CACNB1
RPL19
STAC2
FBXL20
AC005288.1
MED1
CDK12
